Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Terrace Area,Garden,Garden Area,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building
3000 Leuven,House,Residence,785000.0,for sale,4.0,161.0,,,,1.0,,1.0,100.0,,,2.0,,Fully renovated
7000 Mons,House,Residence,725000.0,for sale,8.0,418.0,,,1.0,1.0,75.0,1.0,1928.0,2241.0,,3.0,,Normal
1410 Waterloo,Apartment,Apartment,249000.0,for sale,2.0,82.0,,0.0,,1.0,6.0,1.0,144.0,,,2.0,,To be renovated
8420 Wenduine,House,Residence,349000.0,for sale,3.0,151.0,,,,1.0,,1.0,,248.0,,2.0,,Excellent
1082 Berchem Sainte Agathe,Apartment,Apartment,290000.0,for sale,2.0,90.0,0.0,0.0,,1.0,61.0,,,,,2.0,0.0,Normal
9041 Oostakker,House,Residence,448485.0,for sale,3.0,133.0,,,,0.0,,1.0,,400.0,,3.0,,
1000 Brussels,House,Master House,1175000.0,for sale,7.0,400.0,0.0,,,1.0,,1.0,,184.0,,2.0,,To renovate
1082 Berchem Sainte Agathe,Apartment,Apartment,289000.0,for sale,2.0,115.0,0.0,,,0.0,,1.0,,,,2.0,,Excellent
1933 Sterrebeek,House,Residence,495000.0,for sale,5.0,180.0,0.0,0.0,,1.0,30.0,1.0,50.0,160.0,,3.0,0.0,Normal
4020 Liege,Apartment,Apartment,295000.0,for sale,4.0,164.0,,0.0,,0.0,,0.0,,,,,,
1000 Brussels,House,Residence,1295000.0,for sale,4.0,209.0,0.0,,,1.0,8.0,1.0,260.0,,,2.0,,Excellent
4520 Wanze,Apartment,Apartment,170000.0,for sale,2.0,72.0,1.0,0.0,,1.0,5.0,1.0,,,,2.0,0.0,Normal
2140 Antwerp,Apartment,Apartment,185000.0,for sale,2.0,85.0,0.0,0.0,,1.0,9.0,,,,,,0.0,Normal
6000 Charleroi,House,Residence,109000.0,for sale,2.0,83.0,,,,1.0,,1.0,,100.0,,2.0,0.0,Normal
5060 Auvelais,House,Residence,190000.0,for sale,2.0,75.0,0.0,0.0,,1.0,10.0,1.0,110.0,235.0,,3.0,,Normal
1190 Vorst,Apartment,Apartment,690000.0,for sale,4.0,165.0,0.0,0.0,,0.0,,0.0,,,,3.0,0.0,Excellent
2880 Bornem,House,Mixed Building,875000.0,for sale,5.0,277.0,,,,1.0,,1.0,,213.0,,3.0,,Normal
4000 Liege,Apartment,Apartment,89000.0,for sale,1.0,58.0,0.0,0.0,,1.0,,0.0,,,,2.0,0.0,Normal
8680 Koekelare,House,Residence,372000.0,for sale,3.0,146.0,,,,0.0,,0.0,,350.0,,3.0,,
9506 Schendelbeke,Apartment,Apartment,210000.0,for sale,3.0,109.0,,0.0,,1.0,,0.0,,,,2.0,0.0,
4730 Hauset,Apartment,Apartment,458678.0,for sale,2.0,112.0,,,,1.0,,0.0,,,,,,
8400 Oostende,Apartment,Apartment,395000.0,for sale,2.0,80.0,0.0,,,1.0,,1.0,,,,2.0,,Excellent
7712 Herseaux,House,Residence,249000.0,for sale,4.0,189.0,1.0,0.0,,1.0,,1.0,75.0,160.0,,2.0,0.0,Normal
9230 Wetteren,House,Residence,431942.0,for sale,3.0,132.0,,,,,,,,586.0,,3.0,,New
4500 Ben Ahin,House,Residence,150000.0,in public sale,3.0,,,,,0.0,,1.0,,,,,,
1970 Wezembeek Oppem,House,Residence,629000.0,for sale,5.0,240.0,0.0,0.0,,1.0,10.0,1.0,70.0,240.0,,2.0,0.0,Normal
5000 Namur,Apartment,Apartment,185000.0,for sale,1.0,68.0,,0.0,,1.0,1.0,0.0,,,,2.0,0.0,Normal
2300 Turnhout,Apartment,Apartment,244000.0,for sale,1.0,83.0,,0.0,,1.0,9.0,0.0,,,,3.0,,New
8660 De Panne,Apartment,Apartment,395000.0,for sale,2.0,70.0,,,,1.0,,0.0,,,,,,Excellent
9340 Lede,House,Residence,392316.0,for sale,3.0,132.0,,,,0.0,,1.0,,278.0,,3.0,,New
3640 Kinrooi,Apartment,Apartment,231000.0,for sale,2.0,97.0,,0.0,,1.0,13.0,0.0,,,,2.0,,New
4460 Grace Hollogne,House,Residence,105000.0,in public sale,4.0,,,,,0.0,,1.0,,,,,,
4171 Poulseur,House,Residence,199000.0,for sale,4.0,238.0,1.0,0.0,,1.0,,1.0,,375.0,,4.0,0.0,Normal
1800 Peutie,Apartment,Apartment,275000.0,for sale,1.0,,,,,0.0,,0.0,,,,,,
5370 Havelange,House,Residence,249000.0,for sale,7.0,282.0,1.0,,,0.0,,1.0,767.0,767.0,,3.0,0.0,Normal
5600 Philippeville,House,Residence,165000.0,for sale,3.0,,,,,0.0,,0.0,,,,,,To be renovated
8670 Koksijde,Apartment,Apartment,497000.0,for sale,2.0,102.0,,,,1.0,9.0,1.0,,,,,,New
5500 Dinant,House,Residence,275000.0,for sale,3.0,170.0,1.0,0.0,0.0,1.0,26.0,1.0,120.0,,,,,Excellent
6220 Fleurus,Apartment,Apartment,231000.0,for sale,2.0,89.0,,0.0,,1.0,9.0,0.0,,,,,,New
6530 Thuin,House,Residence,157000.0,for sale,3.0,99.0,,,,1.0,17.0,1.0,250.0,330.0,,2.0,0.0,Normal
3650 Dilsen Stokkem,Apartment,Apartment,322710.0,for sale,2.0,99.0,,,,1.0,21.0,0.0,,,,,,
4032 Chenee,House,Mixed Building,175000.0,for sale,1.0,,,,,,,,,,,2.0,,Normal
8620 Nieuwpoort,Apartment,Studio,129000.0,for sale,,25.0,1.0,1.0,,1.0,,1.0,,,,,,To be renovated
6700 Arlon,House,Residence,190000.0,for sale,2.0,115.0,,0.0,,1.0,,1.0,,170.0,,2.0,0.0,To be renovated
8930 Lauwe,House,Residence,,for sale,7.0,350.0,0.0,0.0,1.0,1.0,,1.0,,3734.0,,4.0,0.0,Normal
9040 Sint Amandsberg,House,Residence,385000.0,for sale,3.0,129.0,1.0,0.0,,1.0,,1.0,10.0,60.0,,2.0,0.0,Normal
6800 Libramont Chevigny,Apartment,Apartment,149000.0,for sale,2.0,98.0,1.0,0.0,,0.0,,0.0,,,,4.0,0.0,To renovate
4850 Moresnet,House,Residence,437923.0,for sale,3.0,123.0,,,,1.0,,1.0,407.0,,,,,
8800 Roeselare,House,Residence,535000.0,for sale,5.0,324.0,0.0,0.0,,1.0,20.0,1.0,500.0,1220.0,,4.0,0.0,To be renovated
7500 Tournai,Apartment,Apartment,212500.0,for sale,1.0,69.0,1.0,,,1.0,6.0,,,,,,,New
5620 Florennes,House,Mixed Building,120000.0,for sale,2.0,161.0,,0.0,,0.0,,0.0,,76.0,,2.0,,
7700 Mouscron,House,Residence,600000.0,for sale,4.0,349.0,,0.0,,1.0,75.0,1.0,800.0,1474.0,,4.0,,Normal
1180 Ukkel,House,Mixed Building,1500000.0,for sale,10.0,505.0,0.0,,,1.0,,0.0,,180.0,,3.0,0.0,Fully renovated
9820 Merelbeke,Apartment,Apartment,614125.0,for sale,3.0,,,0.0,,1.0,,1.0,,,,4.0,,New
6220 Fleurus,Apartment,Apartment,175000.0,for sale,2.0,110.0,,0.0,,0.0,,0.0,,,,,,Normal
1831 Diegem,Apartment,Apartment,310000.0,for sale,,,,,,0.0,,0.0,,,,,,New
9940 Evergem,Apartment,Duplex,395000.0,for sale,3.0,129.0,,,,1.0,,1.0,,,,,,
1410 Waterloo,House,Residence,795000.0,for sale,6.0,200.0,0.0,,,1.0,56.0,1.0,300.0,806.0,,,,Normal
5555 Bievre,House,Residence,199000.0,for sale,3.0,113.0,0.0,0.0,,0.0,,1.0,1300.0,1400.0,,4.0,0.0,To renovate
1950 Kraainem,House,Villa,1650000.0,for sale,5.0,340.0,1.0,0.0,,1.0,,1.0,750.0,1492.0,,4.0,,Normal
1190 Vorst,Apartment,Loft,485000.0,for sale,,350.0,,0.0,,,,,,,,2.0,0.0,Normal
5300 Andenne,House,Residence,159000.0,for sale,3.0,100.0,,0.0,,1.0,17.0,1.0,27.0,113.0,,3.0,,
8300 Knokke Heist,House,Residence,1150000.0,for sale,3.0,82.0,,,,1.0,7.0,0.0,,,,2.0,,
5580 Rochefort,House,Residence,355187.0,for sale,3.0,158.0,,,,,,1.0,,1300.0,,4.0,,New
6720 Habay,House,Residence,350000.0,for sale,4.0,280.0,,0.0,,1.0,40.0,0.0,,,,2.0,,Normal
1000 Brussels,Apartment,Penthouse,599000.0,for sale,2.0,140.0,0.0,1.0,,1.0,77.0,0.0,,,,2.0,0.0,Excellent
3830 Wellen,Apartment,Apartment,378000.0,for sale,2.0,101.0,,,,1.0,32.0,1.0,,,,,,New
1160 Oudergem,House,Mixed Building,850000.0,for sale,4.0,610.0,,0.0,,0.0,,0.0,,,,3.0,0.0,Normal
2930 Brasschaat,House,Residence,415000.0,for sale,3.0,140.0,,0.0,,1.0,,1.0,,386.0,,3.0,,Normal
7370 Dour,House,Residence,289000.0,for sale,3.0,333.0,,,,1.0,30.0,1.0,600.0,118.0,,3.0,,Normal
8400 Oostende,Apartment,Apartment,369000.0,for sale,2.0,88.0,,,,1.0,,1.0,,,,,,Fully renovated
3001 Heverlee,Apartment,Apartment,155000.0,for sale,,56.0,,,,1.0,,0.0,,,,,0.0,
6110 Montigny Le Tilleul,House,Villa,318000.0,for sale,4.0,152.0,,,,1.0,20.0,1.0,100.0,240.0,,3.0,,
4430 Ans,House,Residence,99000.0,for sale,1.0,47.0,1.0,0.0,,1.0,,0.0,,47.0,,2.0,0.0,Excellent
7100 La Louviere,House,Mixed Building,599000.0,for sale,3.0,250.0,1.0,0.0,,1.0,25.0,1.0,250.0,250.0,,2.0,0.0,New
6760 Virton,House,Mixed Building,350000.0,for sale,3.0,220.0,1.0,0.0,,0.0,,0.0,,173.0,,2.0,,Normal
8800 Roeselare,House,Villa,598000.0,for sale,3.0,247.0,,,,1.0,,1.0,,869.0,,,1.0,Excellent
1300 Wavre,House,Residence,490000.0,for sale,6.0,527.0,,0.0,,1.0,,1.0,300.0,,,4.0,0.0,To be renovated
1180 Ukkel,House,Villa,2450000.0,for sale,5.0,453.0,0.0,0.0,,1.0,27.0,1.0,1200.0,1403.0,,4.0,0.0,Normal
1470 Baisy Thy,House,Residence,450000.0,for sale,3.0,,,0.0,,1.0,,1.0,,9208.0,,4.0,,Normal
7700 Mouscron,House,Residence,209000.0,for sale,4.0,138.0,,,,1.0,,1.0,,214.0,,2.0,,
9950 Waarschoot,House,Residence,449000.0,for sale,3.0,124.0,,,,1.0,,1.0,357.0,462.0,,4.0,0.0,Excellent
8670 Koksijde,Apartment,Apartment,299000.0,for sale,1.0,70.0,,,,1.0,7.0,1.0,,,,,,New
1731 Relegem,Apartment,Apartment,189000.0,for sale,2.0,84.0,1.0,0.0,,1.0,6.0,0.0,,,,2.0,0.0,Normal
6230 Pont A Celles,Apartment,Apartment,188500.0,for sale,1.0,64.0,0.0,0.0,,1.0,6.0,0.0,,,,2.0,0.0,
1420 Braine L Alleud,House,Residence,850000.0,for sale,7.0,320.0,0.0,0.0,,1.0,30.0,1.0,600.0,660.0,,4.0,1.0,Excellent
6061 Montignies Sur Sambre,House,Residence,165000.0,for sale,2.0,70.0,,0.0,,1.0,,1.0,,190.0,,,,
8450 Bredene,Apartment,Apartment,226000.0,for sale,1.0,70.0,,,,1.0,8.0,,,,,,,
9050 Gentbrugge,Apartment,Apartment,281000.0,for sale,1.0,70.0,,,,1.0,10.0,0.0,,,,,,
8000 Brugge,House,Residence,265000.0,for sale,3.0,111.0,,,,1.0,,1.0,,102.0,,2.0,,
1070 Anderlecht,House,Residence,475000.0,for sale,3.0,134.0,0.0,0.0,,1.0,,1.0,,321.0,,3.0,0.0,To be renovated
3461 Molenbeek Wersbeek,House,Residence,309000.0,for sale,3.0,145.0,,0.0,,0.0,,1.0,1222.0,1222.0,,,,To be renovated
8680 Koekelare,House,Residence,449000.0,for sale,4.0,291.0,,,,1.0,,1.0,,510.0,,2.0,1.0,
7180 Seneffe,House,Mixed Building,289000.0,for sale,1.0,110.0,,0.0,,1.0,,,,,,2.0,1.0,Fully renovated
5060 Arsimont,House,Villa,385000.0,for sale,3.0,253.0,,,,0.0,,1.0,,1763.0,,4.0,,To be renovated
4460 Grace Hollogne,House,Residence,399000.0,for sale,5.0,205.0,1.0,0.0,,1.0,30.0,1.0,110.0,300.0,,2.0,0.0,Excellent
1180 Ukkel,Apartment,Apartment,525000.0,for sale,3.0,130.0,,,,1.0,20.0,0.0,,,,4.0,,
6750 Musson,House,Residence,850000.0,for sale,6.0,456.0,,0.0,,1.0,,1.0,,751.0,,4.0,1.0,New
9240 Zele,House,Residence,445000.0,for sale,3.0,156.0,,,,0.0,,1.0,,340.0,,,,Normal
4100 Seraing,House,Residence,179000.0,for sale,2.0,101.0,0.0,0.0,,1.0,,1.0,,,,3.0,0.0,Normal
1785 Merchtem,Apartment,Ground Floor,279000.0,for sale,2.0,120.0,1.0,0.0,,0.0,,0.0,,,,2.0,,To be renovated
4420 Saint Nicolas,House,Residence,239000.0,for sale,2.0,126.0,0.0,0.0,,1.0,,1.0,,195.0,,2.0,,Excellent
5340 Mozet,House,Residence,270000.0,for sale,2.0,130.0,,0.0,,1.0,12.0,1.0,250.0,3830.0,,4.0,,
3080 Tervuren,House,Villa,875000.0,for sale,5.0,205.0,0.0,,1.0,1.0,12.0,1.0,,400.0,,4.0,,
1060 Sint Gillis,House,Residence,169000.0,for sale,3.0,97.0,,0.0,,0.0,,1.0,,60.0,,3.0,,To be renovated
4040 Herstal,Apartment,Apartment,139000.0,for sale,2.0,80.0,1.0,0.0,,1.0,5.0,0.0,,,,2.0,0.0,Excellent
8900 Ieper,Apartment,Apartment,357000.0,for sale,2.0,90.0,,,,1.0,,0.0,,,,2.0,,New
8660 Adinkerke,House,Residence,,for sale,3.0,100.0,0.0,0.0,1.0,1.0,15.0,1.0,125.0,212.0,,4.0,,Excellent
6800 Libramont,House,Residence,280000.0,for sale,3.0,508.0,,,,0.0,,0.0,,730.0,,,,Normal
1050 Elsene,Apartment,Apartment,695000.0,for sale,2.0,120.0,0.0,0.0,,0.0,,0.0,,,,2.0,,New
4101 Jemeppe,House,Mixed Building,199000.0,for sale,2.0,130.0,,0.0,,1.0,34.0,0.0,,305.0,,2.0,0.0,Normal
7700 Mouscron,House,Residence,105000.0,for sale,3.0,102.0,,0.0,,1.0,,1.0,45.0,100.0,,2.0,0.0,To renovate
1030 Schaarbeek,Apartment,Apartment,149000.0,for sale,2.0,56.0,,,0.0,0.0,,0.0,,,,2.0,,Excellent
8400 Oostende,Apartment,Apartment,349000.0,for sale,,70.0,,,,1.0,,0.0,,,,2.0,1.0,
7334 Hautrage,House,Residence,240000.0,for sale,4.0,240.0,1.0,0.0,,1.0,30.0,1.0,,,,3.0,,Normal
6660 Houffalize,House,Residence,225000.0,for sale,6.0,254.0,0.0,0.0,,1.0,10.0,1.0,342.0,342.0,,3.0,0.0,To renovate
5100 Jambes,Apartment,Apartment,199000.0,for sale,3.0,102.0,1.0,,,1.0,,,,,,,,Fully renovated
6700 Arlon,House,Residence,480000.0,for sale,2.0,103.0,,0.0,,1.0,29.0,1.0,,243.0,,4.0,,Normal
4100 Seraing,House,Residence,35000.0,in public sale,2.0,,,,,0.0,,1.0,,240.0,,2.0,,To be renovated
1602 Vlezenbeek,House,Cottage,699000.0,for sale,3.0,600.0,,,,0.0,,1.0,,2602.0,,4.0,,To be renovated
2550 Kontich,House,Villa,589000.0,for sale,3.0,145.0,,0.0,,1.0,,1.0,668.0,843.0,,4.0,,Normal
9000 Gent,Apartment,Apartment,350000.0,for sale,2.0,77.0,,,,1.0,,0.0,,,,,,
7134 Leval Trahegnies,House,Residence,140000.0,for sale,3.0,,,,,0.0,,1.0,,,,,,
8670 Koksijde,Apartment,Apartment,,for sale,2.0,80.0,,,,0.0,,0.0,,,,,,To be renovated
6830 Bouillon,Apartment,Apartment,195000.0,for sale,1.0,65.0,1.0,,,,,,,,,2.0,,Excellent
3560 Lummen,Apartment,Duplex,395000.0,for sale,3.0,156.0,,,,1.0,,1.0,,,,,,
1570 Vollezele,House,Residence,148000.0,for sale,3.0,160.0,,0.0,,1.0,,1.0,,236.0,,4.0,,To be renovated
1420 Braine L Alleud,Apartment,Ground Floor,425000.0,for sale,2.0,,,0.0,,1.0,,1.0,226.0,,,,,New
1457 Walhain,Apartment,Duplex,275000.0,for sale,3.0,115.0,,0.0,,0.0,,0.0,,,,3.0,,To renovate
1150 Sint Pieters Woluwe,Apartment,Apartment,395000.0,for sale,3.0,115.0,,0.0,,1.0,11.0,0.0,,,,3.0,,To be renovated
4000 Liege,Apartment,Apartment,260000.0,for sale,2.0,99.0,,0.0,,1.0,2.0,0.0,,,,2.0,,
6060 Gilly,House,Residence,160000.0,for sale,3.0,132.0,,0.0,,1.0,14.0,1.0,,,,3.0,,To be renovated
5101 Erpent,Apartment,Apartment,325000.0,for sale,3.0,95.0,,0.0,,1.0,17.0,0.0,,,,,0.0,Excellent
3583 Paal,House,Residence,499000.0,for sale,3.0,184.0,,,,1.0,30.0,1.0,,1043.0,,2.0,,
1350 Orp Le Grand,House,Residence,381637.0,for sale,3.0,195.0,,0.0,,0.0,,1.0,,350.0,,2.0,,New
9980 Sint Laureins,House,Residence,,for sale,4.0,174.0,0.0,0.0,,1.0,12.0,1.0,129.0,,,2.0,0.0,New
8300 Knokke,Apartment,Apartment,1795000.0,for sale,3.0,126.0,,,,1.0,,0.0,,,,,0.0,Excellent
8000 Brugge,House,Residence,480000.0,for sale,3.0,,,,,1.0,,1.0,,120.0,,,,Fully renovated
6940 Durbuy,House,Residence,319000.0,for sale,3.0,125.0,,0.0,,1.0,,1.0,,670.0,,4.0,0.0,New
1020 Laken,House,Mixed Building,560000.0,for sale,2.0,219.0,0.0,,,0.0,,0.0,,,,2.0,,Normal
2600 Berchem,Apartment,Apartment,169000.0,for sale,1.0,66.0,,0.0,,1.0,,0.0,,,,2.0,,To be renovated
1060 Sint Gillis,Apartment,Apartment,250000.0,for sale,1.0,63.0,,0.0,,0.0,,0.0,,,,,,
8020 Oostkamp,Apartment,Apartment,750000.0,for sale,8.0,,,,,1.0,,1.0,,,,,,
1820 Steenokkerzeel,House,Villa,750000.0,for sale,4.0,235.0,,0.0,,1.0,,1.0,1405.0,1680.0,,4.0,,Normal
4030 Grivegnee,House,Mixed Building,235000.0,for sale,5.0,240.0,,0.0,,1.0,10.0,1.0,60.0,200.0,,2.0,0.0,To be renovated
9600 Ronse,House,Villa,495000.0,for sale,4.0,250.0,0.0,0.0,,1.0,,1.0,2180.0,2608.0,,4.0,0.0,To renovate
8890 Dadizele,Apartment,Apartment,239000.0,for sale,2.0,102.0,,,,1.0,,1.0,,,,3.0,,Excellent
1820 Steenokkerzeel,Apartment,Apartment,425000.0,for sale,3.0,162.0,1.0,0.0,0.0,1.0,,0.0,,,,,,Excellent
3600 Genk,House,Residence,275000.0,for sale,3.0,,,,,0.0,,0.0,,,,3.0,,To be renovated
9506 Schendelbeke,Apartment,Apartment,170000.0,for sale,2.0,109.0,,0.0,,1.0,,0.0,,,,2.0,0.0,
2490 Balen,House,Residence,369000.0,for sale,3.0,168.0,,0.0,,0.0,,1.0,,,,3.0,,New
7390 Quaregnon,House,Residence,95000.0,for sale,3.0,85.0,,,,1.0,10.0,1.0,35.0,100.0,,2.0,,Normal
7900 Leuze En Hainaut,House,Mixed Building,270000.0,for sale,2.0,210.0,0.0,0.0,,0.0,,0.0,,,,2.0,0.0,Excellent
6700 Arlon,House,Residence,35000.0,in public sale,3.0,,,,,0.0,,0.0,,,,,,To be renovated
7850 Enghien,House,Residence,410000.0,for sale,5.0,222.0,,,,1.0,20.0,1.0,,165.0,,2.0,,
4987 Chevron,House,Villa,449000.0,for sale,3.0,145.0,0.0,0.0,,1.0,,1.0,,1224.0,,4.0,0.0,Excellent
2460 Lichtaart,House,Villa,1190000.0,for sale,6.0,,,0.0,,1.0,19.0,1.0,,25269.0,,4.0,,To be renovated
8620 Nieuwpoort,Apartment,Apartment,433740.0,for sale,2.0,92.0,,,,1.0,,1.0,,,,,,New
6150 Anderlues,House,Residence,130000.0,for sale,2.0,,,,,0.0,,1.0,,204.0,,3.0,,To be renovated
8800 Roeselare,Apartment,Apartment,134000.0,for sale,1.0,52.0,1.0,0.0,,1.0,4.0,0.0,,,,2.0,0.0,Normal
5600 Roly,House,Villa,160000.0,for sale,1.0,88.0,,,,0.0,,1.0,,2310.0,,4.0,,Normal
1040 Etterbeek,Apartment,Duplex,499000.0,for sale,2.0,,,0.0,,1.0,,1.0,,,,2.0,,New
1000 Brussels,Apartment,Apartment,545000.0,for sale,2.0,100.0,,0.0,,1.0,60.0,0.0,,,,,,Normal
1140 Evere,Apartment,Apartment,250000.0,for sale,2.0,83.0,,0.0,,1.0,3.0,0.0,,,,2.0,,Normal
8755 Ruiselede,Apartment,Apartment,149000.0,for sale,1.0,57.0,,,,1.0,,0.0,,,,,,
1050 Elsene,Apartment,Apartment,199000.0,for sale,1.0,43.0,,0.0,,0.0,,0.0,,,,2.0,,To be renovated
5300 Andenne,House,Residence,300000.0,for sale,4.0,169.0,1.0,,1.0,1.0,,1.0,,683.0,,2.0,0.0,Excellent
8670 Koksijde,House,Residence,469000.0,for sale,5.0,175.0,,,,1.0,,1.0,404.0,404.0,,,,Fully renovated
1060 Sint Gillis,House,Residence,935000.0,for sale,5.0,310.0,,0.0,,1.0,14.0,1.0,100.0,209.0,,2.0,0.0,To be renovated
5630 Cerfontaine,House,Chalet,149000.0,for sale,2.0,47.0,,1.0,,1.0,7.0,1.0,902.0,902.0,,4.0,,Normal
6280 Gerpinnes,House,Residence,140000.0,in public sale,3.0,144.0,,,,0.0,,1.0,,950.0,,3.0,,
6000 Charleroi,House,Master House,295000.0,for sale,6.0,,,,,1.0,,1.0,,,,2.0,,To renovate
6000 Charleroi,Apartment,Apartment,190000.0,for sale,2.0,150.0,0.0,,,1.0,,0.0,,,,2.0,,Normal
7100 La Louviere,House,Residence,315000.0,for sale,3.0,,0.0,,,1.0,,1.0,,,,2.0,,Excellent
2140 Antwerp,House,Residence,199000.0,for sale,2.0,165.0,,,,0.0,,0.0,,47.0,,2.0,,
3920 Lommel,House,Residence,375000.0,for sale,4.0,255.0,1.0,,0.0,0.0,,0.0,,1399.0,,,0.0,To be renovated
2980 Zoersel,House,Residence,611918.0,for sale,3.0,185.0,,,,,,,,917.0,,4.0,,New
9550 Herzele,House,Residence,895000.0,for sale,4.0,465.0,,0.0,0.0,1.0,60.0,1.0,528.0,,,,,Normal
4420 Montegnee,House,Residence,96000.0,for sale,2.0,71.0,,0.0,,0.0,,0.0,,45.0,,2.0,,To be renovated
1740 Ternat,House,Residence,366300.0,for sale,3.0,627.0,0.0,,,,,1.0,,627.0,,3.0,,Excellent
1200 Sint Lambrechts Woluwe,Apartment,Studio,200000.0,for sale,1.0,43.0,0.0,0.0,,0.0,,0.0,,,,2.0,,Excellent
4000 Liege,Apartment,Apartment,265500.0,for sale,2.0,75.0,,,,0.0,,0.0,,,,,,Fully renovated
6182 Souvret,House,Residence,199000.0,for sale,3.0,133.0,,0.0,,0.0,,0.0,,,,2.0,,
7711 Dottignies,House,Residence,350000.0,for sale,2.0,299.0,,0.0,,1.0,,0.0,,,,2.0,,Excellent
9000 Gent,Apartment,Apartment,749000.0,for sale,2.0,171.0,,,,1.0,48.0,1.0,,,,2.0,,Excellent
1340 Ottignies,Apartment,Apartment,235000.0,for sale,1.0,55.0,,0.0,,1.0,,1.0,,,,,,
5300 Andenne,Apartment,Apartment,299000.0,for sale,2.0,94.0,,0.0,,1.0,44.0,0.0,,,,2.0,,Normal
1040 Etterbeek,Apartment,Penthouse,675000.0,for sale,3.0,143.0,,,,1.0,20.0,,,,,2.0,,Excellent
1790 Affligem,House,Residence,549000.0,for sale,4.0,213.0,0.0,0.0,,1.0,,1.0,,299.0,,3.0,,New
4041 Milmort,House,Mixed Building,400000.0,for sale,4.0,204.0,1.0,0.0,,1.0,,1.0,201.0,706.0,,2.0,0.0,Normal
8750 Zwevezele,Apartment,Penthouse,370000.0,for sale,2.0,106.0,,,,1.0,20.0,0.0,,,,,,
8800 Roeselare,House,Residence,503000.0,for sale,4.0,,,,,1.0,,1.0,,707.0,,4.0,,Excellent
3980 Tessenderlo,House,Residence,279000.0,for sale,3.0,122.0,,0.0,,1.0,,1.0,225.0,370.0,,3.0,,Normal
2860 Sint Katelijne Waver,House,Residence,365000.0,for sale,5.0,186.0,,0.0,,1.0,,1.0,,659.0,,,,To be renovated
3590 Diepenbeek,Apartment,Apartment,310000.0,for sale,2.0,99.0,,0.0,,1.0,,0.0,,,,2.0,,Normal
5070 Fosses La Ville,Apartment,Apartment,307000.0,for sale,2.0,97.0,1.0,0.0,,1.0,12.0,0.0,,,,,0.0,New
7170 Manage,House,Residence,169000.0,for sale,2.0,,,,,0.0,,1.0,,250.0,,3.0,,Normal
7390 Quaregnon,House,Residence,125000.0,for sale,4.0,155.0,1.0,0.0,,1.0,24.0,1.0,240.0,448.0,,3.0,0.0,To be renovated
8200 Sint Andries,Apartment,Apartment,340000.0,for sale,2.0,80.0,,,,1.0,,1.0,,,,2.0,,New
1410 Waterloo,House,Villa,695000.0,for sale,5.0,233.0,0.0,,1.0,1.0,,1.0,791.0,967.0,,4.0,0.0,Normal
1050 Elsene,House,Residence,479000.0,for sale,4.0,150.0,,,,0.0,,0.0,,,,2.0,,
1050 Elsene,Apartment,Apartment,400000.0,for sale,1.0,,0.0,0.0,,0.0,,0.0,,,,,,Excellent
2160 Wommelgem,House,Residence,185000.0,for sale,2.0,98.0,,0.0,,0.0,,0.0,,92.0,,2.0,,To be renovated
7600 Peruwelz,House,Mixed Building,88000.0,for sale,3.0,,,,,1.0,,1.0,,216.0,,2.0,,To renovate
4052 Beaufays,Apartment,Ground Floor,199000.0,for sale,1.0,83.0,1.0,0.0,,0.0,,0.0,,,,3.0,0.0,Normal
2840 Rumst,House,Residence,235000.0,for sale,2.0,68.0,,0.0,,0.0,,1.0,,55.0,,,,
6120 Ham Sur Heure,House,Villa,497000.0,for sale,4.0,193.0,0.0,0.0,,1.0,39.0,1.0,1110.0,1301.0,,4.0,0.0,Excellent
4683 Vivegnis,House,Residence,599000.0,for sale,4.0,188.0,1.0,0.0,,1.0,50.0,1.0,500.0,790.0,,3.0,0.0,Excellent
4970 Stavelot,House,Residence,275000.0,for sale,4.0,226.0,1.0,1.0,,1.0,,1.0,140.0,140.0,,2.0,0.0,Normal
2600 Berchem,Apartment,Apartment,269000.0,for sale,1.0,51.0,,0.0,,1.0,,1.0,,,,,,
7370 Dour,House,Residence,90000.0,for sale,3.0,115.0,,0.0,,1.0,35.0,0.0,,269.0,,2.0,,To be renovated
2430 Vorst,House,Residence,530000.0,for sale,5.0,640.0,,0.0,,1.0,,1.0,,1483.0,,4.0,,Normal
7900 Leuze En Hainaut,Apartment,Apartment,180000.0,for sale,1.0,78.0,,0.0,,0.0,,0.0,,,,,,
4420 Saint Nicolas,House,Residence,159000.0,for sale,3.0,90.0,0.0,0.0,,1.0,13.0,0.0,,95.0,,3.0,0.0,Normal
2490 Balen,House,Residence,199000.0,for sale,3.0,285.0,,,,1.0,,,,,,4.0,,
3583 Paal,House,Residence,450000.0,for sale,3.0,220.0,1.0,,,0.0,,1.0,,573.0,,2.0,,
1200 Sint Lambrechts Woluwe,Apartment,Apartment,380000.0,for sale,2.0,115.0,1.0,0.0,,1.0,3.0,0.0,,,,,0.0,Normal
9140 Temse,Apartment,Apartment,262500.0,for sale,1.0,84.0,,0.0,,1.0,12.0,0.0,,,,4.0,,New
7622 Laplaigne,House,Residence,275000.0,for sale,4.0,229.0,1.0,,,1.0,,1.0,,2948.0,,3.0,0.0,To renovate
